station,valid,lat,lon,elevation,tmpf,dwpf,relh,drct,sknt,feel
GCK,2019-03-10T18:00:00.000000,37.9275,-100.7244,881.0,37.666668,21.816668,53.066666,68.333336,5.5,33.28
JHN,2018-02-10T06:00:00.000000,37.5782,-101.7304,1012.71,15.7277775,11.544444,83.26278,183.33333,12.611111,1.1544445
EHA,2018-05-17T06:00:00.000000,37.0008,-101.88,1099.0,65.10555,58.677776,80.26667,148.33333,8.5,65.094444
3K3,2018-09-13T12:00:00.000000,37.9917,-101.7463,1005.7,64.3,54.2,69.86833,147.77777,10.277778,64.3
GCK,2019-12-17T18:00:00.000000,37.9275,-100.7244,881.0,31.816668,11.833333,45.87,283.33334,14.833333,20.981667
LBL,2018-07-08T12:00:00.000000,37.0442,-100.9599,879.0,67.457146,63.771427,88.32714,172.85715,6.142857,67.41428
19S,2020-11-18T12:00:00.000000,37.4969,-100.8329,892.57,48.172222,38.9,70.48333,194.44444,13.166667,42.26278
19S,2019-06-13T00:00:00.000000,37.4969,-100.8329,892.57,73.005554,45.61111,38.38,155.0,10.388889,72.007774
EHA,2018-06-14T12:00:00.000000,37.0008,-101.88,1099.0,69.5,62.083332,77.837776,181.11111,12.388889,69.494446
EHA,2020-01-17T18:00:00.000000,37.0008,-101.88,1099.0,46.844444,40.6,81.40722,222.77777,20.555555,41.331665
JHN,2019-08-07T12:00:00.000000,37.5782,-101.7304,1012.71,71.36667,60.033333,67.75056,245.0,5.7222223,71.361115
JHN,2018-12-20T00:00:00.000000,37.5782,-101.7304,1012.71,48.216667,23.577778,38.634445,327.77777,14.333333,45.122776
3K3,2018-09-01T06:00:00.000000,37.9917,-101.7463,1005.7,70.4,57.5,64.30889,150.0,8.5,70.4
GCK,2020-01-21T18:00:00.000000,37.9275,-100.7244,881.0,29.65,23.516666,78.46,168.33333,13.666667,18.361666
JHN,2019-03-29T12:00:00.000000,37.5782,-101.7304,1012.71,,,,239.44444,10.055555,
HQG,2019-07-08T18:00:00.000000,37.1631,-101.3705,956.52,82.21667,69.54444,67.10555,159.44444,10.944445,85.29889
LBL,2020-09-03T06:00:00.000000,37.0442,-100.9599,879.0,66.333336,60.666668,82.28667,201.66667,8.333333,66.35
HQG,2018-05-26T18:00:00.000000,37.1631,-101.3705,956.52,89.71667,48.58889,27.962223,166.66667,13.722222,87.10167
EHA,2020-11-24T18:00:00.000000,37.0008,-101.88,1099.0,44.944443,42.788887,92.172775,323.8889,16.444445,37.480556
GCK,2020-09-19T18:00:00.000000,37.9275,-100.7244,881.0,73.0,47.666668,43.146667,180.0,17.333334,72.79667
3K3,2018-04-05T18:00:00.000000,37.9917,-101.7463,1005.7,64.5,18.0,17.105,167.77777,5.0,63.514446
3K3,2020-03-30T06:00:00.000000,37.9917,-101.7463,1005.7,42.0,26.5,54.435555,116.666664,8.166667,36.35611
19S,2020-10-17T18:00:00.000000,37.4969,-100.8329,892.57,67.94444,32.72222,27.797777,133.88889,8.0,67.73222
HQG,2019-07-20T06:00:00.000000,37.1631,-101.3705,956.52,82.65,62.616665,51.183334,176.66667,12.222222,83.43889
JHN,2020-12-21T12:00:00.000000,37.5782,-101.7304,1012.71,31.544445,28.972221,90.193886,281.1111,7.4444447,24.028334
LBL,2020-04-24T06:00:00.000000,37.0442,-100.9599,879.0,56.0,45.333332,67.878334,250.0,6.5,56.033333
HQG,2020-02-24T12:00:00.000000,37.1631,-101.3705,956.52,35.711113,33.827778,92.81555,331.66666,13.777778,26.280556
3K3,2018-12-03T18:00:00.000000,37.9917,-101.7463,1005.7,29.9,20.9,70.36278,162.77777,4.888889,24.207222
HQG,2020-12-13T00:00:00.000000,37.1631,-101.3705,956.52,34.666668,29.9,82.75611,121.666664,8.333333,27.311666
EHA,2020-08-20T12:00:00.000000,37.0008,-101.88,1099.0,65.816666,60.961113,84.55389,177.22223,8.444445,65.82222
HQG,2019-04-01T18:00:00.000000,37.1631,-101.3705,956.52,48.75,34.455555,59.106667,216.66667,11.5,44.76889
LBL,2020-05-11T00:00:00.000000,37.0442,-100.9599,879.0,58.166668,30.933332,35.61,128.33333,12.166667,58.166668
JHN,2018-11-09T12:00:00.000000,37.5782,-101.7304,1012.71,24.2,18.883333,79.86,211.66667,3.9444444,18.795555
JHN,2018-12-30T12:00:00.000000,37.5782,-101.7304,1012.71,10.205556,1.8722222,68.47111,240.0,5.388889,0.5
JHN,2019-03-15T12:00:00.000000,37.5782,-101.7304,1012.71,27.36111,19.411112,71.72667,286.1111,7.611111,18.781666
3K3,2019-07-14T12:00:00.000000,37.9917,-101.7463,1005.7,64.9,57.6,77.59722,85.55556,2.6111112,64.9
EHA,2020-08-11T06:00:00.000000,37.0008,-101.88,1099.0,67.977776,63.572224,86.32111,137.77777,7.8333335,67.97222
LBL,2020-09-05T06:00:00.000000,37.0442,-100.9599,879.0,69.833336,59.0,69.08,180.0,7.5,69.86667
EHA,2020-11-30T18:00:00.000000,37.0008,-101.88,1099.0,47.094444,24.683332,43.125,235.0,16.277779,42.77667
GCK,2018-02-18T12:00:00.000000,37.9275,-100.7244,881.0,39.833332,20.8,46.305,185.0,17.333334,30.191668
19S,2018-07-21T18:00:00.000000,37.4969,-100.8329,892.57,84.683334,66.327774,54.592224,117.77778,12.388889,87.01667
19S,2018-02-25T12:00:00.000000,37.4969,-100.8329,892.57,15.461111,7.177778,69.52055,115.0,5.4444447,6.983333
HQG,2018-09-16T18:00:00.000000,37.1631,-101.3705,956.52,82.12222,60.11111,49.141666,199.44444,16.0,81.88611
GCK,2019-09-14T06:00:00.000000,37.9275,-100.7244,881.0,68.166664,60.333332,77.33,156.66667,12.666667,68.15
HQG,2018-04-19T00:00:00.000000,37.1631,-101.3705,956.52,61.877777,11.838889,14.1866665,221.66667,12.666667,61.894444
HQG,2019-09-10T12:00:00.000000,37.1631,-101.3705,956.52,67.9,63.91111,87.19722,177.77777,8.555555,67.88333
JHN,2020-11-24T00:00:00.000000,37.5782,-101.7304,1012.71,55.65,48.766666,77.87111,190.55556,23.055555,55.666668
3K3,2019-10-03T12:00:00.000000,37.9917,-101.7463,1005.7,46.3,42.8,87.55666,193.33333,4.4444447,43.863335
19S,2020-03-24T00:00:00.000000,37.4969,-100.8329,892.57,53.11111,48.164707,82.962944,122.22222,13.611111,53.294117
LBL,2019-10-24T06:00:00.000000,37.0442,-100.9599,879.0,47.333332,29.783333,51.211666,78.333336,18.5,40.983334
HQG,2020-12-14T00:00:00.000000,37.1631,-101.3705,956.52,22.961111,19.394444,86.272224,296.66666,8.0,13.025556
LBL,2018-07-14T18:00:00.000000,37.0442,-100.9599,879.0,86.6,65.8,50.6,182.0,7.0,88.99
LBL,2018-08-07T06:00:00.000000,37.0442,-100.9599,879.0,74.14286,60.485714,63.202858,247.14285,16.0,74.12857
JHN,2018-08-06T00:00:00.000000,37.5782,-101.7304,1012.71,92.316666,49.81111,24.038334,163.88889,15.944445,89.41
19S,2020-03-23T06:00:00.000000,37.4969,-100.8329,892.57,45.705555,45.70909,89.99,103.888885,9.111111,45.80091
GCK,2018-06-21T12:00:00.000000,37.9275,-100.7244,881.0,62.833332,59.0,87.825,313.33334,6.5,62.85
3K3,2019-07-18T00:00:00.000000,37.9917,-101.7463,1005.7,94.4,55.4,29.248333,175.0,13.166667,93.132225
LBL,2020-12-05T00:00:00.000000,37.0442,-100.9599,879.0,36.833332,29.633333,75.35333,298.33334,7.5,30.46
19S,2020-06-11T00:00:00.000000,37.4969,-100.8329,892.57,79.094444,39.86111,24.962778,238.33333,6.5,78.206665
HQG,2019-07-05T06:00:00.000000,37.1631,-101.3705,956.52,76.45556,63.983334,65.924446,168.88889,11.111111,76.954445
19S,2018-04-02T12:00:00.000000,37.4969,-100.8329,892.57,25.11111,17.283333,71.97722,166.66667,12.388889,13.118889
GCK,2018-06-14T06:00:00.000000,37.9275,-100.7244,881.0,74.333336,56.666668,55.17,161.66667,9.333333,74.38333
GCK,2020-11-09T12:00:00.000000,37.9275,-100.7244,881.0,57.91111,55.488888,91.65222,180.0,17.555555,57.866665
3K3,2018-01-10T18:00:00.000000,37.9917,-101.7463,1005.7,48.4,26.5,44.575,200.55556,3.6666667,46.396667
GCK,2019-07-28T06:00:00.000000,37.9275,-100.7244,881.0,75.833336,55.666668,49.606667,153.33333,9.833333,75.816666
3K3,2019-08-17T12:00:00.000000,37.9917,-101.7463,1005.7,64.6,57.7,78.74333,107.22222,6.611111,64.6
LBL,2019-11-16T18:00:00.000000,37.0442,-100.9599,879.0,57.333332,31.45,39.131668,210.0,10.166667,56.378334
EHA,2019-08-17T18:00:00.000000,37.0008,-101.88,1099.0,88.26667,61.483334,41.530556,197.77777,5.0,88.77111
3K3,2019-05-29T18:00:00.000000,37.9917,-101.7463,1005.7,57.3,44.1,62.158333,326.66666,11.111111,57.3
GCK,2020-10-21T00:00:00.000000,37.9275,-100.7244,881.0,59.0,43.166668,56.883335,82.0,5.0,58.545
19S,2020-10-04T18:00:00.000000,37.4969,-100.8329,892.57,70.36667,35.72778,29.471666,196.11111,10.5,70.37222
LBL,2020-02-29T06:00:00.000000,37.0442,-100.9599,879.0,35.816666,21.816668,56.821667,168.33333,5.8333335,30.393333
JHN,2019-07-24T00:00:00.000000,37.5782,-101.7304,1012.71,83.416664,60.983334,47.009445,118.333336,11.833333,83.717224
LBL,2020-04-10T00:00:00.000000,37.0442,-100.9599,879.0,60.5,31.666666,33.725,91.666664,9.333333,60.5
GCK,2018-02-03T18:00:00.000000,37.9275,-100.7244,881.0,44.666668,18.983334,36.888332,80.0,2.8333333,42.298332
LBL,2018-04-20T18:00:00.000000,37.0442,-100.9599,879.0,51.114285,34.2,52.922855,141.42857,15.714286,49.35
HQG,2018-06-28T06:00:00.000000,37.1631,-101.3705,956.52,76.47222,59.22778,55.411667,189.44444,10.833333,76.60944
